,Coefficient,Mean SHAP,McFadden R2
n_high_Interoceptive_sensorimotor,0.05218812019508075,0.03850829330177517,0.9622615372217519
n_low_Olfactory_sensorimotor,0.050622218336582835,0.03839885159759323,0.9622606958900757
n_global_lemma_hapax_dislegomena,0.0742795491734647,0.03825432358624731,0.9622698459354543
n_low_Gustatory_sensorimotor,0.05035894520971899,0.03820951091279212,0.9622605155932674
avg_sd_Visual_sensorimotor,-0.0716843935496949,0.03795753873231681,0.9622775462366348
avg_sd_socialness,0.052251602678340774,0.03760799180134024,0.9622618229133014
n_low_Torso_sensorimotor,0.0487113508801641,0.03696691246102408,0.9622594119297634
n_controversial_Interoceptive_sensorimotor,0.04681757657400907,0.03676603020908446,0.962258197353308
n_low_Mouth_sensorimotor,0.048279097720384925,0.03668525531575652,0.9622591342956213
n_VERB_VerbForm_Part,0.04578679233058012,0.0366691340430285,0.9622575497587149
n_low_Foot_leg_sensorimotor,0.048202281801814045,0.03664484055871692,0.9622590786133841
n_controversial_iconicity,-0.04477796312567547,0.036072545847716665,0.9622569438348112
avg_intensity_anticipation,0.04618529389995959,0.03579054617402019,0.9622578228851737
avg_sd_Foot_leg_sensorimotor,0.06985187304119139,0.0356887341415661,0.9622757126659225
n_low_Auditory_sensorimotor,0.04693786806770024,0.035622843403774446,0.962258268214019
n_DET_Definite_Def,-0.04537633143027191,0.03517522248535037,0.9622570780177225
avg_n_synsets_verb,-0.04651815949215557,0.035012908575007676,0.9622580007272458
n_high_prevalence,0.045667387753311646,0.034639060621238685,0.9622574624320719
ttr,0.046270005454422274,0.03426795354772761,0.9622578566558552
n_sentences,0.0728141996891521,0.034028581646129874,0.9622789611256505
n_hapax_legomena,0.04465242901373826,0.0340197473671039,0.9622567990193043
n_dependency_predet,-0.06378522344410877,0.0338775951932325,0.9622706574020273
n_PRON_Person_1,-0.04092516277069895,0.033864754089060554,0.9622546992338101
n_negative_sentiment,0.042756434925911774,0.03322907685323304,0.9622553216532451
n_low_Hand_arm_sensorimotor,0.04309430842819182,0.032888357608196216,0.9622559222549403
n_low_Interoceptive_sensorimotor,0.04326238745989404,0.03279276787671516,0.9622560189692194
n_controversial_Torso_sensorimotor,0.042437445162141554,0.032647469525018694,0.9622555417354391
avg_Visual_sensorimotor,-0.042061116398286955,0.031588735302356785,0.9622553229023544
avg_socialness,0.04258495301778165,0.03143010430361807,0.9622556265995285
n_high_concreteness,-0.041498764365659156,0.0314174254878562,0.9622548365390647
msttr,0.08007112081346254,0.0310791728849969,0.962281029975878
n_characters,0.041777131344336596,0.031064995053653104,0.9622549648837276
n_high_joy_intensity,0.043592973663928655,0.030944046100789817,0.9622561068486355
n_dependency_pobj,-0.038373126228984464,0.029584512910875733,0.9622532401167095
tree_branching,0.08485988545399002,0.029443095633697174,0.9622871844669306
n_dependency_acomp,-0.03902655475369605,0.029437417072242796,0.9622535720370841
mattr,0.0766740917448206,0.029098724427842546,0.962278426297063
n_high_iconicity,0.03710251425567674,0.028472766247217597,0.9622526046668808
n_ADV_Degree_Pos,-0.04990964905854832,0.027931054076448317,0.9622601806505406
avg_sd_Hand_arm_sensorimotor,0.03941804650598029,0.027864862893280794,0.9622538527273087
n_NOUN_Number_Sing,-0.03652172336243596,0.027461937399710448,0.9622521427569741
avg_Haptic_sensorimotor,-0.03842779313381451,0.02730288164850139,0.9622533298611312
n_adp,-0.03469582986837566,0.026748169377367712,0.9622514591558811
